# Device ID to Name mapping
# Format: device_id | vendor | model | full_name
# Generated from: /Users/macbook/src/tollgate-os/external_profiles/23.05.5/ath79/generic/profiles.json
# Generated on: Sun Apr 20 17:22:51 CEST 2025

8dev_carambola2 | 8devices | Carambola2 | 8devices Carambola2
qxwlan_e600g-v2-16m | Qxwlan | E600G | Qxwlan E600G (v2 (16M))
qxwlan_e600g-v2-8m | Qxwlan | E600G | Qxwlan E600G (v2 (8M))
qxwlan_e600gac-v2-16m | Qxwlan | E600GAC | Qxwlan E600GAC (v2 (16M))
qxwlan_e600gac-v2-8m | Qxwlan | E600GAC | Qxwlan E600GAC (v2 (8M))
qxwlan_e750a-v4-16m | Qxwlan | E750A | Qxwlan E750A (v4 (16M))
qxwlan_e750a-v4-8m | Qxwlan | E750A | Qxwlan E750A (v4 (8M))
qxwlan_e750g-v8-16m | Qxwlan | E750G | Qxwlan E750G (v8 (16M))
qxwlan_e750g-v8-8m | Qxwlan | E750G | Qxwlan E750G (v8 (8M))
rosinson_wr818 | Rosinson | WR818 | Rosinson WR818
ruckus_zf7025 | Ruckus | ZoneFlex 7025 | Ruckus ZoneFlex 7025
ruckus_zf7321 | Ruckus | ZoneFlex 7321[-U] | Ruckus ZoneFlex 7321[-U]
ruckus_zf7341 | Ruckus | ZoneFlex 7341[-U] | Ruckus ZoneFlex 7341[-U]
ruckus_zf7351 | Ruckus | ZoneFlex 7351[-U] | Ruckus ZoneFlex 7351[-U]
ruckus_zf7363 | Ruckus | ZoneFlex 7363[-U] | Ruckus ZoneFlex 7363[-U]
ruckus_zf7372 | Ruckus | ZoneFlex 7352/7372[-E/-U] | Ruckus ZoneFlex 7352/7372[-E/-U]
samsung_wam250 | Samsung | WAM250 | Samsung WAM250
siemens_ws-ap3610 | Siemens | WS-AP3610 | Siemens WS-AP3610
sitecom_wlr-7100 | Sitecom | WLR-7100 | Sitecom WLR-7100
sitecom_wlr-8100 | Sitecom | WLR-8100 | Sitecom WLR-8100
sophos_ap100 | Sophos | AP100 | Sophos AP100
sophos_ap100c | Sophos | AP100C | Sophos AP100C
sophos_ap15 | Sophos | AP15 | Sophos AP15
sophos_ap55 | Sophos | AP55 | Sophos AP55
sophos_ap55c | Sophos | AP55C | Sophos AP55C
telco_t1 | Telco | T1 | Telco T1
teltonika_rut230-v1 | Teltonika | RUT230 | Teltonika RUT230 (v1)
teltonika_rut300 | Teltonika | RUT300 | Teltonika RUT300
teltonika_rut955 | Teltonika | RUT955 | Teltonika RUT955
teltonika_rut955-h7v3c0 | Teltonika | RUT955 | Teltonika RUT955 (H7V3C0)
tplink_archer-a7-v5 | TP-Link | Archer A7 | TP-Link Archer A7 (v5)
tplink_archer-a9-v6 | TP-Link | Archer A9 | TP-Link Archer A9 (v6)
tplink_archer-c2-v3 | TP-Link | Archer C2 | TP-Link Archer C2 (v3)
tplink_archer-c25-v1 | TP-Link | Archer C25 | TP-Link Archer C25 (v1)
tplink_archer-c5-v1 | TP-Link | Archer C5 | TP-Link Archer C5 (v1)
tplink_archer-c58-v1 | TP-Link | Archer C58 | TP-Link Archer C58 (v1)
tplink_archer-c59-v1 | TP-Link | Archer C59 | TP-Link Archer C59 (v1)
tplink_archer-c59-v2 | TP-Link | Archer C59 | TP-Link Archer C59 (v2)
tplink_archer-c6-v2 | TP-Link | Archer C6 | TP-Link Archer C6 (v2 (EU/RU/JP))
tplink_archer-c6-v2-us | TP-Link | Archer C6 | TP-Link Archer C6 (v2 (US))
tplink_archer-c60-v1 | TP-Link | Archer C60 | TP-Link Archer C60 (v1)
tplink_archer-c60-v2 | TP-Link | Archer C60 | TP-Link Archer C60 (v2)
tplink_archer-c60-v3 | TP-Link | Archer C60 | TP-Link Archer C60 (v3)
tplink_archer-c7-v1 | TP-Link | Archer C7 | TP-Link Archer C7 (v1)
tplink_archer-c7-v2 | TP-Link | Archer C7 | TP-Link Archer C7 (v2)
tplink_archer-c7-v4 | TP-Link | Archer C7 | TP-Link Archer C7 (v4)
tplink_archer-c7-v5 | TP-Link | Archer C7 | TP-Link Archer C7 (v5)
tplink_archer-d50-v1 | TP-Link | Archer D50 | TP-Link Archer D50 (v1)
tplink_archer-d7-v1 | TP-Link | Archer D7 | TP-Link Archer D7 (v1)
tplink_archer-d7b-v1 | TP-Link | Archer D7b | TP-Link Archer D7b (v1)
tplink_cpe210-v1 | TP-Link | CPE210 | TP-Link CPE210 (v1)
tplink_cpe210-v2 | TP-Link | CPE210 | TP-Link CPE210 (v2)
tplink_cpe210-v3 | TP-Link | CPE210 | TP-Link CPE210 (v3)
tplink_cpe220-v2 | TP-Link | CPE220 | TP-Link CPE220 (v2)
tplink_cpe220-v3 | TP-Link | CPE220 | TP-Link CPE220 (v3)
tplink_cpe510-v1 | TP-Link | CPE510 | TP-Link CPE510 (v1)
tplink_cpe510-v2 | TP-Link | CPE510 | TP-Link CPE510 (v2)
tplink_cpe510-v3 | TP-Link | CPE510 | TP-Link CPE510 (v3)
tplink_cpe605-v1 | TP-Link | CPE605 | TP-Link CPE605 (v1)
tplink_cpe610-v1 | TP-Link | CPE610 | TP-Link CPE610 (v1)
tplink_cpe610-v2 | TP-Link | CPE610 | TP-Link CPE610 (v2)
tplink_cpe710-v1 | TP-Link | CPE710 | TP-Link CPE710 (v1)
tplink_deco-m4r-v1 | TP-Link | Deco M4R | TP-Link Deco M4R (v1)
tplink_deco-s4-v2 | TP-Link | Deco S4 | TP-Link Deco S4 (v2)
tplink_eap225-outdoor-v1 | TP-Link | EAP225-Outdoor | TP-Link EAP225-Outdoor (v1)
tplink_eap225-outdoor-v3 | TP-Link | EAP225-Outdoor | TP-Link EAP225-Outdoor (v3)
tplink_eap225-v1 | TP-Link | EAP225 | TP-Link EAP225 (v1)
tplink_eap225-v3 | TP-Link | EAP225 | TP-Link EAP225 (v3)
tplink_eap225-v4 | TP-Link | EAP225 | TP-Link EAP225 (v4)
tplink_eap225-wall-v2 | TP-Link | EAP225-Wall | TP-Link EAP225-Wall (v2)
tplink_eap245-v1 | TP-Link | EAP245 | TP-Link EAP245 (v1)
tplink_eap245-v3 | TP-Link | EAP245 | TP-Link EAP245 (v3)
tplink_re350k-v1 | TP-Link | RE350K | TP-Link RE350K (v1)
tplink_re355-v1 | TP-Link | RE355 | TP-Link RE355 (v1)
tplink_re450-v1 | TP-Link | RE450 | TP-Link RE450 (v1)
tplink_re450-v2 | TP-Link | RE450 | TP-Link RE450 (v2)
tplink_re450-v3 | TP-Link | RE450 | TP-Link RE450 (v3)
tplink_re455-v1 | TP-Link | RE455 | TP-Link RE455 (v1)
tplink_tl-mr6400-v1 | TP-Link | TL-MR6400 | TP-Link TL-MR6400 (v1)
tplink_tl-wa1201-v2 | TP-Link | TL-WA1201 | TP-Link TL-WA1201 (v2)
tplink_tl-wdr3500-v1 | TP-Link | TL-WDR3500 | TP-Link TL-WDR3500 (v1)
tplink_tl-wdr3600-v1 | TP-Link | TL-WDR3600 | TP-Link TL-WDR3600 (v1)
tplink_tl-wdr4300-v1 | TP-Link | TL-WDR4300 | TP-Link TL-WDR4300 (v1)
tplink_tl-wdr4300-v1-il | TP-Link | TL-WDR4300 | TP-Link TL-WDR4300 (v1 (IL))
tplink_tl-wdr4310-v1 | TP-Link | TL-WDR4310 | TP-Link TL-WDR4310 (v1)
