# OpenWrt Device Search Helper
# Version: 23.05.5
# Generated: Sun Apr 20 17:23:19 CEST 2025
# Format: device_id | platform/target | vendor | model

8dev_habanero-dvk | ipq40xx/generic | 8devices | Habanero DVK
netgear_ex7300-v2 | ath79/generic | NETGEAR | EX7300
netgear_wndap360 | ath79/generic | NETGEAR | WNDAP360
netgear_wndr3700 | ath79/generic | NETGEAR | WNDR3700
netgear_wndr3700-v2 | ath79/generic | NETGEAR | WNDR3700
netgear_wndr3800 | ath79/generic | NETGEAR | WNDR3800
netgear_wndr3800ch | ath79/generic | NETGEAR | WNDR3800CH
netgear_wndrmac-v1 | ath79/generic | NETGEAR | WNDRMAC
netgear_wndrmac-v2 | ath79/generic | NETGEAR | WNDRMAC
netgear_wnr2200-16m | ath79/generic | NETGEAR | WNR2200
netgear_wnr2200-8m | ath79/generic | NETGEAR | WNR2200
ocedo_koala | ath79/generic | Ocedo | Koala
ocedo_raccoon | ath79/generic | Ocedo | Raccoon
ocedo_ursus | ath79/generic | Ocedo | Ursus
onion_omega | ath79/generic | Onion | Omega
openmesh_a40 | ath79/generic | OpenMesh | A40
openmesh_a60 | ath79/generic | OpenMesh | A60
openmesh_mr1750-v1 | ath79/generic | OpenMesh | MR1750
openmesh_mr1750-v2 | ath79/generic | OpenMesh | MR1750
openmesh_mr600-v1 | ath79/generic | OpenMesh | MR600
openmesh_mr600-v2 | ath79/generic | OpenMesh | MR600
openmesh_mr900-v1 | ath79/generic | OpenMesh | MR900
openmesh_mr900-v2 | ath79/generic | OpenMesh | MR900
openmesh_om2p-hs-v1 | ath79/generic | OpenMesh | OM2P-HS
openmesh_om2p-hs-v2 | ath79/generic | OpenMesh | OM2P-HS
openmesh_om2p-hs-v3 | ath79/generic | OpenMesh | OM2P-HS
openmesh_om2p-hs-v4 | ath79/generic | OpenMesh | OM2P-HS
openmesh_om2p-lc | ath79/generic | OpenMesh | OM2P-LC
openmesh_om2p-v1 | ath79/generic | OpenMesh | OM2P
openmesh_om2p-v2 | ath79/generic | OpenMesh | OM2P
openmesh_om2p-v4 | ath79/generic | OpenMesh | OM2P
openmesh_om5p | ath79/generic | OpenMesh | OM5P
openmesh_om5p-ac-v1 | ath79/generic | OpenMesh | OM5P-AC
openmesh_om5p-ac-v2 | ath79/generic | OpenMesh | OM5P-AC
openmesh_om5p-an | ath79/generic | OpenMesh | OM5P-AN
pcs_cap324 | ath79/generic | PowerCloud Systems | CAP324
pcs_cr3000 | ath79/generic | PowerCloud Systems | CR3000
pcs_cr5000 | ath79/generic | PowerCloud Systems | CR5000
phicomm_k2t | ath79/generic | Phicomm | K2T
pisen_ts-d084 | ath79/generic | PISEN | TS-D084
pisen_wmb001n | ath79/generic | PISEN | WMB001N
pisen_wmm003n | ath79/generic | PISEN | Cloud Easy Power (WMM003N)
plasmacloud_pa300 | ath79/generic | Plasma Cloud | PA300
plasmacloud_pa300e | ath79/generic | Plasma Cloud | PA300E
qca_ap143-16m | ath79/generic | Qualcomm Atheros | AP143
qca_ap143-8m | ath79/generic | Qualcomm Atheros | AP143
qihoo_c301 | ath79/generic | Qihoo | C301
qxwlan_e1700ac-v2-16m | ath79/generic | Qxwlan | E1700AC
qxwlan_e1700ac-v2-8m | ath79/generic | Qxwlan | E1700AC
qxwlan_e558-v2-16m | ath79/generic | Qxwlan | E558
qxwlan_e558-v2-8m | ath79/generic | Qxwlan | E558
qxwlan_e600g-v2-16m | ath79/generic | Qxwlan | E600G
qxwlan_e600g-v2-8m | ath79/generic | Qxwlan | E600G
qxwlan_e600gac-v2-16m | ath79/generic | Qxwlan | E600GAC
qxwlan_e600gac-v2-8m | ath79/generic | Qxwlan | E600GAC
qxwlan_e750a-v4-16m | ath79/generic | Qxwlan | E750A
qxwlan_e750a-v4-8m | ath79/generic | Qxwlan | E750A
qxwlan_e750g-v8-16m | ath79/generic | Qxwlan | E750G
qxwlan_e750g-v8-8m | ath79/generic | Qxwlan | E750G
rosinson_wr818 | ath79/generic | Rosinson | WR818
ruckus_zf7025 | ath79/generic | Ruckus | ZoneFlex 7025
ruckus_zf7321 | ath79/generic | Ruckus | ZoneFlex 7321[-U]
ruckus_zf7341 | ath79/generic | Ruckus | ZoneFlex 7341[-U]
ruckus_zf7351 | ath79/generic | Ruckus | ZoneFlex 7351[-U]
ruckus_zf7363 | ath79/generic | Ruckus | ZoneFlex 7363[-U]
ruckus_zf7372 | ath79/generic | Ruckus | ZoneFlex 7352/7372[-E/-U]
samsung_wam250 | ath79/generic | Samsung | WAM250
siemens_ws-ap3610 | ath79/generic | Siemens | WS-AP3610
sitecom_wlr-7100 | ath79/generic | Sitecom | WLR-7100
sitecom_wlr-8100 | ath79/generic | Sitecom | WLR-8100
sophos_ap100 | ath79/generic | Sophos | AP100
sophos_ap100c | ath79/generic | Sophos | AP100C
sophos_ap15 | ath79/generic | Sophos | AP15
sophos_ap55 | ath79/generic | Sophos | AP55
sophos_ap55c | ath79/generic | Sophos | AP55C
telco_t1 | ath79/generic | Telco | T1
teltonika_rut230-v1 | ath79/generic | Teltonika | RUT230
teltonika_rut300 | ath79/generic | Teltonika | RUT300
teltonika_rut955 | ath79/generic | Teltonika | RUT955
teltonika_rut955-h7v3c0 | ath79/generic | Teltonika | RUT955
tplink_archer-a7-v5 | ath79/generic | TP-Link | Archer A7
tplink_archer-a9-v6 | ath79/generic | TP-Link | Archer A9
tplink_archer-c2-v3 | ath79/generic | TP-Link | Archer C2
tplink_archer-c25-v1 | ath79/generic | TP-Link | Archer C25
tplink_archer-c5-v1 | ath79/generic | TP-Link | Archer C5
tplink_archer-c58-v1 | ath79/generic | TP-Link | Archer C58
tplink_archer-c59-v1 | ath79/generic | TP-Link | Archer C59
tplink_archer-c59-v2 | ath79/generic | TP-Link | Archer C59
tplink_archer-c6-v2 | ath79/generic | TP-Link | Archer C6
tplink_archer-c6-v2-us | ath79/generic | TP-Link | Archer C6
tplink_archer-c60-v1 | ath79/generic | TP-Link | Archer C60
tplink_archer-c60-v2 | ath79/generic | TP-Link | Archer C60
tplink_archer-c60-v3 | ath79/generic | TP-Link | Archer C60
tplink_archer-c7-v1 | ath79/generic | TP-Link | Archer C7
tplink_archer-c7-v2 | ath79/generic | TP-Link | Archer C7
tplink_archer-c7-v4 | ath79/generic | TP-Link | Archer C7
tplink_archer-c7-v5 | ath79/generic | TP-Link | Archer C7
tplink_archer-d50-v1 | ath79/generic | TP-Link | Archer D50
tplink_archer-d7-v1 | ath79/generic | TP-Link | Archer D7
tplink_archer-d7b-v1 | ath79/generic | TP-Link | Archer D7b
tplink_cpe210-v1 | ath79/generic | TP-Link | CPE210
tplink_cpe210-v2 | ath79/generic | TP-Link | CPE210
tplink_cpe210-v3 | ath79/generic | TP-Link | CPE210
tplink_cpe220-v2 | ath79/generic | TP-Link | CPE220
tplink_cpe220-v3 | ath79/generic | TP-Link | CPE220
tplink_cpe510-v1 | ath79/generic | TP-Link | CPE510
tplink_cpe510-v2 | ath79/generic | TP-Link | CPE510
tplink_cpe510-v3 | ath79/generic | TP-Link | CPE510
tplink_cpe605-v1 | ath79/generic | TP-Link | CPE605
tplink_cpe610-v1 | ath79/generic | TP-Link | CPE610
tplink_cpe610-v2 | ath79/generic | TP-Link | CPE610
tplink_cpe710-v1 | ath79/generic | TP-Link | CPE710
tplink_deco-m4r-v1 | ath79/generic | TP-Link | Deco M4R
tplink_deco-s4-v2 | ath79/generic | TP-Link | Deco S4
tplink_eap225-outdoor-v1 | ath79/generic | TP-Link | EAP225-Outdoor
tplink_eap225-outdoor-v3 | ath79/generic | TP-Link | EAP225-Outdoor
tplink_eap225-v1 | ath79/generic | TP-Link | EAP225
tplink_eap225-v3 | ath79/generic | TP-Link | EAP225
tplink_eap225-v4 | ath79/generic | TP-Link | EAP225
tplink_eap225-wall-v2 | ath79/generic | TP-Link | EAP225-Wall
tplink_eap245-v1 | ath79/generic | TP-Link | EAP245
tplink_eap245-v3 | ath79/generic | TP-Link | EAP245
tplink_re350k-v1 | ath79/generic | TP-Link | RE350K
tplink_re355-v1 | ath79/generic | TP-Link | RE355
tplink_re450-v1 | ath79/generic | TP-Link | RE450
tplink_re450-v2 | ath79/generic | TP-Link | RE450
tplink_re450-v3 | ath79/generic | TP-Link | RE450
tplink_re455-v1 | ath79/generic | TP-Link | RE455
tplink_tl-mr6400-v1 | ath79/generic | TP-Link | TL-MR6400
tplink_tl-wa1201-v2 | ath79/generic | TP-Link | TL-WA1201
tplink_tl-wdr3500-v1 | ath79/generic | TP-Link | TL-WDR3500
tplink_tl-wdr3600-v1 | ath79/generic | TP-Link | TL-WDR3600
tplink_tl-wdr4300-v1 | ath79/generic | TP-Link | TL-WDR4300
tplink_tl-wdr4300-v1-il | ath79/generic | TP-Link | TL-WDR4300
tplink_tl-wdr4310-v1 | ath79/generic | TP-Link | TL-WDR4310
tplink_tl-wdr4900-v2 | ath79/generic | TP-Link | TL-WDR4900
tplink_tl-wdr7500-v3 | ath79/generic | TP-Link | TL-WDR7500
tplink_tl-wpa8630-v1 | ath79/generic | TP-Link | TL-WPA8630
tplink_tl-wr1043n-v5 | ath79/generic | TP-Link | TL-WR1043N
tplink_tl-wr1043nd-v2 | ath79/generic | TP-Link | TL-WR1043N/ND
tplink_tl-wr1043nd-v3 | ath79/generic | TP-Link | TL-WR1043N/ND
